iter	Passed	Remaining
839	13830	19099
840	13846	19081
841	13861	19063
842	13877	19046
843	13890	19025
844	13908	19010
845	13925	18995
846	13941	18978
847	13956	18960
848	13972	18942
849	13996	18936
850	14012	18919
851	14054	18937
852	14070	18920
853	14087	18903
854	14103	18886
855	14118	18868
856	14133	18849
857	14147	18830
858	14161	18811
859	14177	18793
860	14192	18775
861	14207	18756
862	14223	18740
863	14239	18722
864	14256	18706
865	14272	18689
866	14288	18672
867	14304	18654
868	14319	18636
869	14335	18619
870	14349	18600
871	14363	18580
872	14378	18561
873	14391	18541
874	14407	18524
875	14422	18505
876	14437	18487
877	14451	18467
878	14465	18448
879	14480	18429
880	14495	18411
881	14511	18393
882	14526	18375
883	14541	18357
884	14556	18339
885	14571	18320
886	14586	18303
887	14598	18281
888	14614	18264
889	14628	18244
890	14642	18225
891	14657	18206
892	14685	18204
893	14700	18186
894	14716	18169
895	14732	18152
896	14747	18134
897	14763	18116
898	14778	18098
899	14794	18082
900	14810	18065
901	14827	18049
902	14842	18031
903	14858	18014
904	14873	17996
905	14891	17981
906	14906	17963
907	14922	17946
908	14937	17928
909	14953	17911
910	14968	17893
911	14983	17875
912	15000	17859
913	15016	17841
914	15031	17824
915	15048	17807
916	15078	17808
917	15094	17790
918	15109	17772
919	15124	17754
920	15139	17737
921	15154	17719
922	15163	17693
923	15177	17674
924	15192	17655
925	15217	17649
926	15233	17633
927	15250	17617
928	15266	17600
929	15282	17582
930	15308	17577
931	15325	17561
932	15341	17544
933	15357	17527
934	15373	17510
935	15387	17491
936	15401	17472
937	15421	17460
938	15435	17441
939	15451	17424
940	15466	17406
941	15482	17388
942	15497	17370
943	15513	17354
944	15530	17338
945	15546	17321
946	15561	17303
947	15576	17284
948	15590	17266
949	15605	17248
950	15619	17228
951	15635	17211
952	15650	17194
953	15669	17180
954	15684	17162
955	15698	17143
956	15713	17125
957	15731	17111
958	15748	17094
959	15763	17077
960	15778	17059
961	15792	17040
962	15807	17022
963	15826	17008
964	15840	16989
965	15856	16972
966	15870	16953
967	15884	16934
968	15900	16917
969	15914	16899
970	15929	16881
971	15944	16863
972	15959	16845
973	15982	16835
974	15996	16816
975	16029	16817
976	16045	16800
977	16062	16784
978	16076	16766
979	16091	16748
980	16107	16731
981	16122	16713
982	16139	16697
983	16156	16681
984	16171	16664
985	16188	16648
986	16204	16631
987	16222	16616
988	16238	16599
989	16255	16583
990	16270	16566
991	16286	16549
992	16324	16554
993	16340	16538
994	16357	16522
995	16372	16504
996	16391	16489
997	16412	16477
998	16427	16460
999	16443	16443
1000	16460	16427
1001	16475	16410
1002	16491	16392
1003	16507	16376
1004	16524	16359
